형태소,품사,분류,카운트
"',",Punctuation,제민일보,1
"',",Punctuation,한국경제,2
"',",Punctuation,환경미디어,1
'..,Punctuation,파이낸셜뉴스,1
'...,Punctuation,베타뉴스,1
'...,Punctuation,톱데일리,1
'…,Punctuation,뉴스1,1
'…,Punctuation,뉴스렙,1
'…,Punctuation,브릿지경제,1
'…,Punctuation,한국경제,2
"'…""",Punctuation,뉴스1,1
"'…""",Punctuation,제민일보,1
'…',Punctuation,경남매일신문,1
(,Punctuation,매일신문,1
(,Punctuation,위키트리,1
),Punctuation,매일신문,1
),Punctuation,위키트리,1
+,Punctuation,내외경제tv,1
+,Punctuation,뉴스인사이드,1
+,Punctuation,마이데일리,1
+,Punctuation,머니S,1
+,Punctuation,위키리스크한국,1
+,Punctuation,충청리뷰,1
",",Punctuation,AI타임스,1
",",Punctuation,BBC News 코리아,1
",",Punctuation,CNB저널,1
",",Punctuation,EBN,1
",",Punctuation,MBN,1
",",Punctuation,Queen,1
",",Punctuation,SBS funE,1
",",Punctuation,STN 스포츠,1
",",Punctuation,YTN,1
",",Punctuation,경기일보,1
",",Punctuation,경남매일신문,2
",",Punctuation,경상매일신문,2
",",Punctuation,경상일보,2
",",Punctuation,경인일보,1
",",Punctuation,경향신문,2
",",Punctuation,골프타임즈,1
",",Punctuation,광명지역신문,1
",",Punctuation,교통신문,1
",",Punctuation,국민일보,4
",",Punctuation,국제뉴스,3
",",Punctuation,국제신문,5
",",Punctuation,굿모닝경제,1
",",Punctuation,글로벌이코노믹,2
",",Punctuation,금강일보,1
",",Punctuation,기호일보,2
",",Punctuation,남도일보,1
",",Punctuation,내외경제tv,1
",",Punctuation,노컷뉴스,1
",",Punctuation,녹색경제신문,2
",",Punctuation,뉴스1,2
",",Punctuation,뉴스브라이트,2
",",Punctuation,뉴스웍스,1
",",Punctuation,뉴스웨이,2
",",Punctuation,뉴스인사이드,5
",",Punctuation,뉴스컬처,1
",",Punctuation,뉴스타운,2
",",Punctuation,뉴시스,1
",",Punctuation,당진신문,3
",",Punctuation,대구일보,1
",",Punctuation,더드라이브,1
",",Punctuation,더리더,2
",",Punctuation,데일리그리드,1
",",Punctuation,데일리안,1
",",Punctuation,데일리한국,1
",",Punctuation,동아일보,1
",",Punctuation,로이슈,1
",",Punctuation,리서치페이퍼,2
",",Punctuation,마이데일리,3
",",Punctuation,매일경제,3
",",Punctuation,머니S,1
",",Punctuation,머니투데이,2
",",Punctuation,문화뉴스,6
",",Punctuation,미디어스,1
",",Punctuation,미디어펜,1
",",Punctuation,민중의소리,1
",",Punctuation,부산일보,4
",",Punctuation,비욘드포스트,1
",",Punctuation,서울경제,1
",",Punctuation,서울신문,2
",",Punctuation,스타데일리뉴스,2
",",Punctuation,스타트업투데이,1
",",Punctuation,스포츠경향,1
",",Punctuation,스포츠동아,1
",",Punctuation,스포츠서울,1
",",Punctuation,스포츠투데이,3
",",Punctuation,스포츠한국,1
",",Punctuation,시민일보,2
",",Punctuation,시사매거진,2
",",Punctuation,시선뉴스,1
",",Punctuation,싱글리스트,1
",",Punctuation,아시아경제,1
",",Punctuation,아시아투데이,3
",",Punctuation,아주경제,6
",",Punctuation,안전신문,1
",",Punctuation,업코리아,2
",",Punctuation,에너지경제,3
",",Punctuation,엘르,1
",",Punctuation,영남일보,1
",",Punctuation,울산종합일보,1
",",Punctuation,월간조선,1
",",Punctuation,웹데일리,1
",",Punctuation,위키리스크한국,2
",",Punctuation,위키트리,1
",",Punctuation,이데일리,1
",",Punctuation,이코노뉴스,1
",",Punctuation,이투데이,4
",",Punctuation,인사이트,3
",",Punctuation,인터뷰365,1
",",Punctuation,일간투데이,1
",",Punctuation,일요시사,1
",",Punctuation,일요신문,1
",",Punctuation,전기신문,3
",",Punctuation,제주교통복지신문,1
",",Punctuation,조선일보,1
",",Punctuation,조세일보,2
",",Punctuation,중도일보,2
",",Punctuation,중부일보,1
",",Punctuation,천지일보,1
",",Punctuation,충청리뷰,1
",",Punctuation,충청매일,2
",",Punctuation,쿠키뉴스,1
",",Punctuation,크리스천투데이,1
",",Punctuation,톱데일리,1
",",Punctuation,톱스타뉴스,2
",",Punctuation,티브이데일리,3
",",Punctuation,파이낸셜 뉴스,1
",",Punctuation,포쓰저널,1
",",Punctuation,한강타임즈,1
",",Punctuation,한겨례,1
",",Punctuation,한국경제,6
",",Punctuation,한국금융신문,2
",",Punctuation,한스경제,2
",",Punctuation,헤럴드경제,1
",",Punctuation,화이트페이퍼,2
",",Punctuation,환경미디어,3
-,Punctuation,매경이코노미,1
-,Punctuation,포쓰저널,1
..,Punctuation,AI타임스,1
..,Punctuation,경상일보,1
..,Punctuation,남도일보,1
..,Punctuation,내외경제tv,1
..,Punctuation,대구일보,1
..,Punctuation,메트로신문,1
..,Punctuation,파이낸셜 뉴스,1
..,Punctuation,파이낸셜뉴스,2
..,Punctuation,한강타임즈,1
..,Punctuation,한라일보,1
...,Punctuation,SR타임스,1
...,Punctuation,STN 스포츠,1
...,Punctuation,YTN,1
...,Punctuation,경상일보,1
...,Punctuation,광명지역신문,1
...,Punctuation,국제신문,1
...,Punctuation,글로벌에듀,1
...,Punctuation,뉴스인사이드,3
...,Punctuation,로이슈,1
...,Punctuation,문화뉴스,1
...,Punctuation,민중의소리,1
...,Punctuation,법률방송뉴스,1
...,Punctuation,비욘드포스트,1
...,Punctuation,스타데일리뉴스,2
...,Punctuation,시민일보,1
...,Punctuation,시선뉴스,2
...,Punctuation,아주경제,2
...,Punctuation,울산종합일보,2
...,Punctuation,웹데일리,1
...,Punctuation,위키트리,1
...,Punctuation,이데일리,1
...,Punctuation,일간투데이,1
...,Punctuation,조선일보,2
...,Punctuation,한스경제,1
"...""",Punctuation,이데일리,1
...',Punctuation,YTN,1
..?,Punctuation,아시아뉴스통신,1
1,Number,Queen,1
1,Number,경향신문,1
1,Number,금강일보,1
1,Number,뉴스타운,1
1,Number,매일신문,1
1,Number,머니S,1
1,Number,법률방송뉴스,1
1,Number,스포츠경향,1
1,Number,아시아경제,1
1,Number,아시아투데이,1
1,Number,아주경제,1
1,Number,위키트리,1
1,Number,일요시사,1
1,Number,조세일보,1
1,Number,허프포스트코리아,1
1%,Number,뉴스타운,1
1%,Number,제민일보,1
100억,Number,남도일보,1
100억,Number,매경이코노미,1
100억,Number,문화일보,1
100억,Number,인터뷰365,1
100억원,Number,글로벌이코노믹,1
150만원,Number,세계일보,1
1750만,Number,뉴스인사이드,1
17억,Number,뉴스타운,1
17억,Number,제민일보,1
188억원,Number,한국경제,1
1등,Number,리서치페이퍼,1
1억,Number,sbn뉴스,1
1억,Number,법률방송뉴스,1
1억,Number,아주경제,1
1억,Number,영남일보,1
1억,Number,한국경제,1
1일,Number,월간조선,1
2,Number,이데일리,1
2,Number,인사이트,1
2,Number,조선에듀,1
2000만,Number,녹색경제신문,1
2000만,Number,뉴스렙,1
2000만원,Number,머니S,1
2000억원,Number,톱데일리,1
2019년,Number,데일리한국,1
20억,Number,싱글리스트,1
2100만원,Number,영남일보,1
22억,Number,MBC,1
23일,Number,광명지역신문,1
23일,Number,인사이트코리아,1
2억,Number,대구일보,1
2천만원,Number,조세일보,1
3,Number,뉴스1,1
3,Number,마이데일리,1
3,Number,시민일보,1
"3,100만",Number,강원일보,1
3.3억,Number,골프타임즈,1
3.3억,Number,제민일보,1
3.3억,Number,한국금융신문,1
3.4억,Number,엑스포츠뉴스,1
30,Number,한국금융신문,1
300,Number,법률방송뉴스,1
300억원,Number,한국경제,1
30억,Number,뉴스1,1
30억,Number,마이데일리,1
30억,Number,매경이코노미,1
30억,Number,시민일보,2
30억,Number,조선일보,1
3111만,Number,금강일보,1
3111만,Number,뉴스1,1
33억,Number,SR타임스,1
33억,Number,뉴스1,1
33억원,Number,굿모닝경제,1
35억,Number,국민일보,1
35억,Number,이데일리,1
35억원,Number,서울경제,1
36억,Number,경기도민일보,1
36억,Number,교통신문,1
36억,Number,국제신문,2
36억,Number,내외뉴스통신,1
36억,Number,문화뉴스,1
36억,Number,스타데일리뉴스,1
36억,Number,위키리스크한국,1
36억,Number,한국정경신문,1
37억,Number,MK스포츠,1
37억,Number,경상매일신문,1
37억,Number,공감신문,1
37억,Number,뉴스투데이,1
37억,Number,데일리그리드,1
37억,Number,데일리시큐,1
37억,Number,독서신문,1
37억,Number,매일경제,1
37억,Number,머니투데이,1
37억,Number,문화뉴스,1
37억,Number,부산일보,1
37억,Number,스타데일리뉴스,1
37억,Number,시사매거진,1
37억,Number,에너지경제,1
37억,Number,이코노뉴스,1
37억,Number,이투데이,1
37억,Number,중도일보,1
37억,Number,쿠키뉴스,1
37억,Number,한강타임즈,1
37억,Number,한국경제,2
37억원,Number,국제신문,1
37억원,Number,데일리한국,1
37억원,Number,미주한국일보,1
37억원,Number,스타뉴스,1
37억원,Number,스포츠동아,1
37억원,Number,싱글리스트,1
37억원,Number,아시아투데이,2
37억원,Number,헤럴드경제,1
3년,Number,글로벌이코노믹,1
3년,Number,일간리더스경제,1
3억,Number,국민일보,1
3억,Number,머니S,2
3천만,Number,뉴스컬처,1
3천만,Number,뉴스투데이,1
3천만,Number,마이데일리,1
3천만,Number,톱스타뉴스,1
4,Number,문화일보,1
4000만,Number,SR타임스,1
4000만,Number,민중의소리,1
400억,Number,국제신문,1
400억원,Number,머니S,1
40년,Number,녹색경제신문,1
40년,Number,뉴스렙,1
40년,Number,환경미디어,1
40억,Number,국민일보,1
40억,Number,금강일보,1
40억,Number,데일리안,1
40억,Number,매일경제,1
40억,Number,머니투데이,1
40억,Number,세계일보,1
40억,Number,시민일보,1
40억,Number,월간조선,1
40억,Number,파이낸셜뉴스,1
40조원,Number,매경이코노미,1
41억,Number,대구일보,1
42억,Number,뉴스브라이트,1
42억,Number,뉴스인사이드,1
42억,Number,데일리한국,1
42억,Number,이투데이,2
480억,Number,뉴스타운,1
480억,Number,일요시사,1
4월,Number,비욘드포스트,1
5,Number,MBN,1
5,Number,금강일보,1
5,Number,뉴시스,1
5,Number,더셀럽,1
5,Number,연합뉴스,1
5,Number,한국금융신문,1
500억,Number,인사이트,1
6,Number,MBN,2
6,Number,MK스포츠,1
6,Number,Queen,1
6,Number,SBS funE,1
6,Number,SR타임스,1
6,Number,UPI뉴스,2
6,Number,YTN,1
6,Number,강원일보,1
6,Number,경기일보,1
6,Number,교통신문,1
6,Number,국민일보,1
6,Number,국제뉴스,1
6,Number,국제신문,3
6,Number,굿모닝경제,1
6,Number,글로벌이코노믹,1
6,Number,금강일보,2
6,Number,뉴스1,1
6,Number,뉴스컬처,1
6,Number,뉴스타운,1
6,Number,뉴스토마토,1
6,Number,뉴스투데이,1
6,Number,뉴시스,1
6,Number,대구일보,2
6,Number,데일리안,1
6,Number,데일리한국,1
6,Number,마이데일리,3
6,Number,매일경제,6
6,Number,머니투데이,2
6,Number,메트로신문,1
6,Number,문화뉴스,1
6,Number,미디어펜,1
6,Number,미주한국일보,1
6,Number,부산일보,1
6,Number,브릿지경제,1
6,Number,서울경제,1
6,Number,서울신문,2
6,Number,스타뉴스,1
6,Number,스타데일리뉴스,1
6,Number,스포츠Q,1
6,Number,스포츠경향,1
6,Number,스포츠동아,1
6,Number,스포츠서울,2
6,Number,스포츠투데이,1
6,Number,스포츠한국,1
6,Number,시민일보,3
6,Number,시선뉴스,1
6,Number,아시아경제,1
6,Number,엘르,1
6,Number,여성조선,1
6,Number,연합뉴스,1
6,Number,월간조선,1
6,Number,위키트리,2
6,Number,이데일리,2
6,Number,인사이트,1
6,Number,일요시사,1
6,Number,조선일보,2
6,Number,조세일보,1
6,Number,중도일보,2
6,Number,천지일보,1
6,Number,충청리뷰,1
6,Number,쿠키뉴스,1
6,Number,톱스타뉴스,1
6,Number,파이낸셜뉴스,1
6,Number,한강타임즈,1
6,Number,한국경제,2
6,Number,한국금융신문,1
6,Number,한스경제,1
6,Number,헤럴드경제,1
6,Number,화이트페이퍼,2
6000만원,Number,대구일보,1
65억,Number,한국경제,2
6억,Number,부산일보,1
6억,Number,위키트리,1
6억,Number,일간리더스경제,1
6억원,Number,데일리한국,1
6억원,Number,천지일보,1
75억,Number,부산일보,1
90억,Number,YTN,1
90억,Number,부산일보,1
90억,Number,이데일리,1
90억원,Number,글로벌이코노믹,1
90억원,Number,뉴시스,1
95억,Number,MBN,2
95억,Number,MK스포츠,1
95억,Number,SBS funE,1
95억,Number,STN 스포츠,1
95억,Number,UPI뉴스,2
95억,Number,YTN,2
95억,Number,경인일보,1
95억,Number,경향신문,1
95억,Number,교통신문,1
95억,Number,국제신문,4
95억,Number,글로벌이코노믹,1
95억,Number,금강일보,3
95억,Number,뉴스1,1
95억,Number,뉴스컬처,1
95억,Number,뉴스투데이,1
95억,Number,뉴시스,1
95억,Number,더셀럽,1
95억,Number,데일리안,1
95억,Number,동아일보,1
95억,Number,마이데일리,3
95억,Number,매일경제,5
95억,Number,머니투데이,3
95억,Number,메트로신문,1
95억,Number,문화뉴스,2
95억,Number,미디어펜,1
95억,Number,부산일보,2
95억,Number,브릿지경제,1
95억,Number,서울경제,1
95억,Number,서울신문,2
95억,Number,서울와이어,1
95억,Number,세계일보,2
95억,Number,스타뉴스,1
95억,Number,스타데일리뉴스,2
95억,Number,스포츠Q,2
95억,Number,스포츠동아,1
95억,Number,스포츠서울,1
95억,Number,스포츠투데이,1
95억,Number,시민일보,1
95억,Number,시선뉴스,2
95억,Number,싱글리스트,2
95억,Number,아시아경제,1
95억,Number,아시아뉴스통신,1
95억,Number,아시아투데이,1
95억,Number,아주경제,2
95억,Number,업코리아,1
95억,Number,엘르,1
95억,Number,여성조선,1
95억,Number,연합뉴스,1
95억,Number,위키트리,2
95억,Number,이데일리,1
95억,Number,인사이트,2
95억,Number,조세일보,1
95억,Number,중도일보,2
95억,Number,쿠키뉴스,1
95억,Number,톱스타뉴스,2
95억,Number,티브이데일리,1
95억,Number,한국경제,3
95억,Number,한국일보,1
95억,Number,한스경제,2
95억,Number,허프포스트코리아,1
95억,Number,헤럴드경제,1
95억,Number,화이트페이퍼,2
95억원,Number,Queen,1
95억원,Number,경기일보,1
95억원,Number,경인일보,1
95억원,Number,국민일보,1
95억원,Number,뉴스웨이,1
95억원,Number,마이데일리,1
95억원,Number,매일경제,1
95억원,Number,민중의소리,1
95억원,Number,브릿지경제,1
95억원,Number,스타뉴스,1
95억원,Number,스포츠경향,1
95억원,Number,스포츠서울,1
95억원,Number,아시아투데이,1
95억원,Number,에너지경제,1
95억원,Number,오가닉라이프신문,1
95억원,Number,조선일보,1
95억원,Number,중부일보,1
95억원,Number,티브이데일리,1
95억원,Number,한국금융신문,1
96억,Number,마이데일리,1
:,Punctuation,BBC News 코리아,1
=,Punctuation,세계일보,1
?,Punctuation,AI타임스,1
?,Punctuation,BBC News 코리아,1
?,Punctuation,EBN,1
?,Punctuation,KBS,1
?,Punctuation,MBC,1
?,Punctuation,SR타임스,1
?,Punctuation,UPI뉴스,1
?,Punctuation,YTN,1
?,Punctuation,경상매일신문,2
?,Punctuation,경상일보,2
?,Punctuation,경인일보,1
?,Punctuation,경향신문,1
?,Punctuation,광명지역신문,1
?,Punctuation,교통신문,1
?,Punctuation,국민일보,2
?,Punctuation,국제뉴스,2
?,Punctuation,국제신문,1
?,Punctuation,굿모닝경제,1
?,Punctuation,글로벌에듀,1
?,Punctuation,글로벌이코노믹,1
?,Punctuation,금강일보,2
?,Punctuation,남도일보,1
?,Punctuation,내외경제tv,2
?,Punctuation,녹색경제신문,2
?,Punctuation,뉴스렙,1
?,Punctuation,뉴스브라이트,3
?,Punctuation,뉴스인사이드,3
?,Punctuation,뉴스컬처,1
?,Punctuation,뉴스타운,1
?,Punctuation,대구일보,1
?,Punctuation,더드라이브,1
?,Punctuation,더리더,1
?,Punctuation,더셀럽,1
?,Punctuation,데일리안,1
?,Punctuation,데일리한국,1
?,Punctuation,독서신문,1
?,Punctuation,리서치페이퍼,1
?,Punctuation,마이데일리,2
?,Punctuation,매일경제,1
?,Punctuation,매일신문,2
?,Punctuation,문화뉴스,2
?,Punctuation,미디어펜,1
?,Punctuation,서울와이어,1
?,Punctuation,세계일보,1
?,Punctuation,스타데일리뉴스,1
?,Punctuation,스타트업투데이,1
?,Punctuation,스포츠Q,1
?,Punctuation,스포츠서울,1
?,Punctuation,시사매거진,1
?,Punctuation,시선뉴스,1
?,Punctuation,싱글리스트,1
?,Punctuation,아시아타임즈,1
?,Punctuation,아시아투데이,1
?,Punctuation,아주경제,4
?,Punctuation,업코리아,1
?,Punctuation,에너지경제,1
?,Punctuation,엑스포츠뉴스,1
?,Punctuation,울산종합일보,3
?,Punctuation,월간조선,1
?,Punctuation,위키리스크한국,1
?,Punctuation,이데일리,2
?,Punctuation,이코노뉴스,1
?,Punctuation,이투데이,1
?,Punctuation,인사이트,1
?,Punctuation,일간투데이,2
?,Punctuation,제주교통복지신문,1
?,Punctuation,중도일보,3
?,Punctuation,천지일보,1
?,Punctuation,톱스타뉴스,1
?,Punctuation,티브이데일리,1
?,Punctuation,파이낸셜뉴스,1
?,Punctuation,한국경제,1
?,Punctuation,한국금융신문,1
?,Punctuation,한국일보,2
?,Punctuation,한라일보,1
?,Punctuation,한스경제,1
?,Punctuation,화이트페이퍼,2
?,Punctuation,환경미디어,1
"?!""···",Punctuation,인사이트,1
"?""",Punctuation,매일경제,1
"?""",Punctuation,시민일보,1
"?""",Punctuation,울산종합일보,1
"?""",Punctuation,하비엔,1
"?""…",Punctuation,데일리한국,1
?',Punctuation,뉴스컬처,1
?'..',Punctuation,위키리스크한국,1
?..,Punctuation,스타뉴스,1
?...,Punctuation,경기도민일보,1
?...,Punctuation,글로벌이코노믹,1
"?...""",Punctuation,시민일보,1
??,Punctuation,화이트페이퍼,1
?’,Punctuation,금강일보,1
?’,Punctuation,서울신문,1
?’,Punctuation,톱스타뉴스,1
?…,Punctuation,국민일보,1
?…,Punctuation,녹색경제신문,1
?…,Punctuation,뉴스1,1
?…,Punctuation,뉴스웍스,1
?…,Punctuation,뉴스웨이,1
?…,Punctuation,매일신문,1
?…,Punctuation,문화뉴스,1
?…,Punctuation,서울경제,1
?…,Punctuation,천지일보,1
"?…""",Punctuation,머니투데이,1
?…',Punctuation,머니S,1
?…',Punctuation,이투데이,2
BJ,Alpha,뉴스렙,1
BJ,Alpha,시빅뉴스,1
CNN,Alpha,뉴스1,1
CNN,Alpha,뉴시스,1
CNN,Alpha,머니S,1
MBC,Alpha,시사저널,1
MBC,Alpha,월간조선,1
NO,Alpha,스타데일리뉴스,1
TV,Alpha,뉴스웍스,1
TV,Alpha,동아일보,1
VS,Alpha,MBN,1
VS,Alpha,교통신문,1
VS,Alpha,국제신문,2
VS,Alpha,서울와이어,1
[,Punctuation,이데일리,1
],Punctuation,이데일리,1
`,Punctuation,강원일보,1
`,Punctuation,경상매일신문,7
`,Punctuation,뉴스브라이트,2
`,Punctuation,매일경제,3
`,Punctuation,한국경제,2
"`,",Punctuation,경상매일신문,1
`…,Punctuation,매일경제,1
ing,Alpha,마이데일리,1
notch,Alpha,비욘드포스트,1
notch,Alpha,스타트업투데이,1
top,Alpha,비욘드포스트,1
top,Alpha,스타트업투데이,1
vs,Alpha,뉴스인사이드,1
vs,Alpha,부산일보,1
vs,Alpha,티브이데일리,1
~,Punctuation,경상일보,1
~,Punctuation,대구일보,1
~’,Punctuation,시사매거진,1
·,Punctuation,경상매일신문,1
·,Punctuation,국민일보,1
·,Punctuation,국제뉴스,1
·,Punctuation,글로벌이코노믹,1
·,Punctuation,뉴스1,2
·,Punctuation,대구일보,1
·,Punctuation,매일경제,1
·,Punctuation,문화일보,1
·,Punctuation,서울경제,1
·,Punctuation,스포츠경향,1
·,Punctuation,시빅뉴스,3
·,Punctuation,아주경제,1
·,Punctuation,에너지경제,1
·,Punctuation,이뉴스투데이,1
·,Punctuation,이데일리,1
·,Punctuation,이투데이,4
·,Punctuation,전기신문,1
·,Punctuation,티브이데일리,1
···,Punctuation,경향신문,1
···,Punctuation,금강일보,1
···,Punctuation,아이뉴스,1
˝,Foreign,경상매일신문,4
‘,Foreign,KBS,2
‘,Foreign,MK스포츠,1
‘,Foreign,STN 스포츠,2
‘,Foreign,sbn뉴스,2
‘,Foreign,경기도민일보,1
‘,Foreign,경상매일신문,1
‘,Foreign,경상일보,2
‘,Foreign,경향신문,1
‘,Foreign,국민일보,3
‘,Foreign,국제신문,7
‘,Foreign,글로벌에듀,4
‘,Foreign,금강일보,1
‘,Foreign,내외뉴스통신,2
‘,Foreign,뉴스웨이,2
‘,Foreign,뉴스토마토,1
‘,Foreign,뉴스투데이,1
‘,Foreign,더리더,2
‘,Foreign,더셀럽,3
‘,Foreign,데일리그리드,1
‘,Foreign,독서신문,3
‘,Foreign,동아일보,2
‘,Foreign,매경이코노미,1
‘,Foreign,매일경제,1
‘,Foreign,문화뉴스,1
‘,Foreign,문화일보,1
‘,Foreign,미디어오늘,1
‘,Foreign,미주한국일보,1
‘,Foreign,블록체인밸리,2
‘,Foreign,비욘드포스트,2
‘,Foreign,서울신문,3
‘,Foreign,서울와이어,2
‘,Foreign,세계일보,3
‘,Foreign,스포츠경향,2
‘,Foreign,시사매거진,3
‘,Foreign,아시아뉴스통신,1
‘,Foreign,아시아투데이,6
‘,Foreign,아주경제,2
‘,Foreign,업코리아,4
‘,Foreign,에너지경제,2
‘,Foreign,오피니언뉴스,1
‘,Foreign,울산종합일보,1
‘,Foreign,월간조선,4
‘,Foreign,이데일리,1
‘,Foreign,인사이트,1
‘,Foreign,인사이트코리아,1
‘,Foreign,인천일보,2
‘,Foreign,일간리더스경제,2
‘,Foreign,일간투데이,2
‘,Foreign,일요시사,1
‘,Foreign,제주교통복지신문,2
‘,Foreign,조선에듀,1
‘,Foreign,중부일보,2
‘,Foreign,천지일보,2
‘,Foreign,축산신문,1
‘,Foreign,크리스천투데이,1
‘,Foreign,톱스타뉴스,5
‘,Foreign,한라일보,1
‘,Foreign,화이트페이퍼,1
‘高,Foreign,일간투데이,1
’,Punctuation,KBS,2
’,Punctuation,STN 스포츠,2
’,Punctuation,sbn뉴스,2
’,Punctuation,경기도민일보,1
’,Punctuation,경남데일리,1
’,Punctuation,경상매일신문,1
’,Punctuation,경상일보,2
’,Punctuation,경향신문,1
’,Punctuation,광명지역신문,2
’,Punctuation,국민일보,3
’,Punctuation,국제신문,8
’,Punctuation,글로벌에듀,3
’,Punctuation,내외뉴스통신,1
’,Punctuation,뉴스웨이,2
’,Punctuation,더리더,2
’,Punctuation,더셀럽,2
’,Punctuation,데일리그리드,1
